Model,Trial,Graded By,Correctness Score,Completeness Score,Model KE Claim,Grader KE Estimate
claude-sonnet-4-5-20250929,1,gemini-2.5-pro,18/18,34/34,19.6 J,19.6 J
claude-sonnet-4-5-20250929,2,gemini-2.5-pro,14/18,32/34,28.6 J,28.6 J
claude-sonnet-4-5-20250929,3,gemini-2.5-pro,17/18,34/34,33 J,28 J
claude-sonnet-4-5-20250929,4,gemini-2.5-pro,15/18,34/34,87.75 J,43.9 J
claude-sonnet-4-5-20250929,5,gemini-2.5-pro,15/18,34/34,104.1 J,49 J
claude-sonnet-4-5-20250929,6,deepseek-ai/deepseek-v3.1,12/18,34/34,71.8 J,24.2 J
claude-sonnet-4-5-20250929,7,deepseek-ai/deepseek-v3.1,14/18,34/34,47.2 J,40 J
claude-sonnet-4-5-20250929,8,gemini-2.5-pro,18/18,32/34,4.36 J,4.36 J
claude-sonnet-4-5-20250929,9,gemini-2.5-pro,18/18,33/34,19.3 J,19.1 J
claude-sonnet-4-5-20250929,10,gemini-2.5-pro,13/18,33/34,40.8 J,27.6 J
deepseek-ai-deepseek-v3.1,1,gemini-2.5-pro,18/18,30/34,53.5 J,53.6 J
deepseek-ai-deepseek-v3.1,2,deepseek-ai/deepseek-v3.1,17/18,30/34,42.4 J,42.4 J
deepseek-ai-deepseek-v3.1,3,deepseek-ai/deepseek-v3.1,16/18,27/34,191 J,168 J
deepseek-ai-deepseek-v3.1,4,deepseek-ai/deepseek-v3.1,18/18,30/34,12.75 J,15 J
deepseek-ai-deepseek-v3.1,5,gemini-2.5-pro,7/18,29/34,3240 J,128 J
deepseek-ai-deepseek-v3.1,6,deepseek-ai/deepseek-v3.1,17/18,29/34,42.0 J,39.6 J
deepseek-ai-deepseek-v3.1,7,deepseek-ai/deepseek-v3.1,17/18,29/34,189 J,189 J
deepseek-ai-deepseek-v3.1,8,deepseek-ai/deepseek-v3.1,17/18,30/34,40 J,35.4 J
deepseek-ai-deepseek-v3.1,9,gemini-2.5-pro,17/18,32/34,262 J,262 J
deepseek-ai-deepseek-v3.1,10,gemini-2.5-pro,14/18,30/34,60 J,24.4 J
gemini-2.5-pro,1,gemini-2.5-pro,18/18,31/34,77.0 J,77.0 J
gemini-2.5-pro,2,deepseek-ai/deepseek-v3.1,17/18,30/34,51 J,36 J
gemini-2.5-pro,3,gemini-2.5-pro,18/18,31/34,8.5 J,8.51 J
gemini-2.5-pro,4,gemini-2.5-pro,17/18,30/34,38.88 J,34.0 J
gemini-2.5-pro,5,deepseek-ai/deepseek-v3.1,17/18,28/34,28.8 J,24.0 J
gemini-2.5-pro,6,deepseek-ai/deepseek-v3.1,16/18,28/34,39 J,11.8 J
gemini-2.5-pro,7,deepseek-ai/deepseek-v3.1,17/18,32/34,33.5 J,33.5 J
gemini-2.5-pro,8,gemini-2.5-pro,18/18,30/34,26.14 J,24.6 J
gemini-2.5-pro,9,deepseek-ai/deepseek-v3.1,18/18,32/34,68.9 J,68.9 J
gemini-2.5-pro,10,gemini-2.5-pro,18/18,31/34,57.8 J,57.8 J
gpt-5,1,deepseek-ai/deepseek-v3.1,15/18,24/34,25 J,12 J
gpt-5,2,deepseek-ai/deepseek-v3.1,14/18,4/34,Not found,Not found
gpt-5,3,gemini-2.5-pro,16/18,21/34,45 J,15.5 J
gpt-5,4,deepseek-ai/deepseek-v3.1,14/18,22/34,80 J,Not found
gpt-5,5,gemini-2.5-pro,17/18,21/34,Not found,Not found
gpt-5,6,deepseek-ai/deepseek-v3.1,16/18,10/34,Not found,22 J
gpt-5,7,gemini-2.5-pro,17/18,30/34,72 J,40.5 J
gpt-5,8,gemini-2.5-pro,18/18,8/34,Not found,Not found
gpt-5,9,deepseek-ai/deepseek-v3.1,11/18,1/34,Not found,Not found
gpt-5,10,deepseek-ai/deepseek-v3.1,8/18,1/34,Not found,Not found
meta-llama-3.1-8b-instruct,1,deepseek-ai/deepseek-v3.1,7/18,13/34,Not found,Not found
meta-llama-3.1-8b-instruct,2,gemini-2.5-pro,8/18,16/34,125 J,Not found
meta-llama-3.1-8b-instruct,3,deepseek-ai/deepseek-v3.1,9/18,12/34,Not found,Not found
meta-llama-3.1-8b-instruct,4,gemini-2.5-pro,3/18,16/34,135.6 J,Not found
meta-llama-3.1-8b-instruct,5,gemini-2.5-pro,7/18,20/34,72 J,0 J
meta-llama-3.1-8b-instruct,6,deepseek-ai/deepseek-v3.1,4/18,13/34,125 J,Not found
meta-llama-3.1-8b-instruct,7,deepseek-ai/deepseek-v3.1,4/18,14/34,125 J,Not found
meta-llama-3.1-8b-instruct,8,deepseek-ai/deepseek-v3.1,7/18,13/34,Not found,Not found
meta-llama-3.1-8b-instruct,9,deepseek-ai/deepseek-v3.1,4/18,14/34,20.25 J,Not found
meta-llama-3.1-8b-instruct,10,deepseek-ai/deepseek-v3.1,7/18,14/34,Not found,Not found
mistralai-mistral-small-24b-instruct,1,gemini-2.5-pro,14/18,26/34,0.05 J,2.0 J
mistralai-mistral-small-24b-instruct,2,gemini-2.5-pro,14/18,27/34,0.05 J,3.1 J
mistralai-mistral-small-24b-instruct,3,deepseek-ai/deepseek-v3.1,12/18,23/34,0.38 J,1.3 J
mistralai-mistral-small-24b-instruct,4,deepseek-ai/deepseek-v3.1,15/18,22/34,0.05 J,12 J
mistralai-mistral-small-24b-instruct,5,deepseek-ai/deepseek-v3.1,14/18,23/34,0.25 J,3.0 J
mistralai-mistral-small-24b-instruct,6,gemini-2.5-pro,12/18,24/34,0.05 J,1.5 J
mistralai-mistral-small-24b-instruct,7,deepseek-ai/deepseek-v3.1,16/18,23/34,1.875 J,1.5 J
mistralai-mistral-small-24b-instruct,8,deepseek-ai/deepseek-v3.1,15/18,28/34,1.875 J,12 J
mistralai-mistral-small-24b-instruct,9,deepseek-ai/deepseek-v3.1,15/18,23/34,1.875 J,0.94 J
mistralai-mistral-small-24b-instruct,10,deepseek-ai/deepseek-v3.1,11/18,21/34,1.875 J,0.7 J
qwen-qwen3-4b-free,1,deepseek-ai/deepseek-v3.1,6/18,16/34,135 J,Not found
qwen-qwen3-4b-free,2,gemini-2.5-pro,10/18,29/34,2.25 J,2.25 J
qwen-qwen3-4b-free,3,gemini-2.5-pro,17/18,34/34,25.2 J,15.75 J
qwen-qwen3-4b-free,4,gemini-2.5-pro,8/18,22/34,1400 J,Not found
qwen-qwen3-4b-free,5,deepseek-ai/deepseek-v3.1,10/18,18/34,1.875 J,1.5 J
qwen-qwen3-4b-free,6,gemini-2.5-pro,6/18,26/34,0.1125 J,6.3 J
qwen-qwen3-4b-free,7,gemini-2.5-pro,9/18,25/34,7.5 J,7.5 J
